[aaudio.hw_burst_min_usec]: [2000]
[aaudio.mmap_exclusive_policy]: [2]
[aaudio.mmap_policy]: [2]
[apex.all.ready]: [true]
[arm64.memtag.process.system_server]: [off]
[audio.sys.mute.latency.factor]: [2]
[audio.sys.noisy.broadcast.delay]: [500]
[audio.sys.offload.pstimeout.secs]: [3]
[audio.sys.routing.latency]: [0]
[bluetooth.core.le_audio.codec_extension_aidl.enabled]: [false]
[bluetooth.device.class_of_device]: [90,2,12]
[bluetooth.hfp.codec_aptx_voice.enabled]: [true]
[bluetooth.profile.a2dp.source.enabled]: [true]
[bluetooth.profile.asha.central.enabled]: [true]
[bluetooth.profile.avrcp.controller.enabled]: [false]
[bluetooth.profile.avrcp.target.enabled]: [true]
[bluetooth.profile.bap.broadcast.assist.enabled]: [true]
[bluetooth.profile.bap.broadcast.source.enabled]: [true]
[bluetooth.profile.bap.unicast.client.enabled]: [true]
[bluetooth.profile.bas.client.enabled]: [true]
[bluetooth.profile.ccp.server.enabled]: [true]
[bluetooth.profile.csip.set_coordinator.enabled]: [true]
[bluetooth.profile.gatt.enabled]: [true]
[bluetooth.profile.hap.client.enabled]: [true]
[bluetooth.profile.hfp.ag.enabled]: [true]
[bluetooth.profile.hid.device.enabled]: [true]
[bluetooth.profile.hid.host.enabled]: [true]
[bluetooth.profile.map.server.enabled]: [true]
[bluetooth.profile.mcp.server.enabled]: [true]
[bluetooth.profile.opp.enabled]: [true]
[bluetooth.profile.pan.nap.enabled]: [true]
[bluetooth.profile.pan.panu.enabled]: [true]
[bluetooth.profile.pbap.server.enabled]: [true]
[bluetooth.profile.pbap.sim.enabled]: [true]
[bluetooth.profile.sap.server.enabled]: [true]
[bluetooth.profile.vcp.controller.enabled]: [true]
[bootreceiver.enable]: [0]
[build.version.extensions.ad_services]: [17]
[build.version.extensions.b]: [17]
[build.version.extensions.r]: [17]
[build.version.extensions.s]: [17]
[build.version.extensions.t]: [17]
[build.version.extensions.u]: [17]
[build.version.extensions.v]: [17]
[cache.trigger]: [1]
[cache_key.bluetooth.bluetooth_adapter_get_connection_state]: [5607437189991289647]
[cache_key.bluetooth.bluetooth_adapter_get_profile_connection_state]: [5607437189991289645]
[cache_key.bluetooth.bluetooth_adapter_is_offloaded_filtering_supported]: [5607437189991289646]
[cache_key.bluetooth.bluetooth_device_get_bond_state]: [5607437189991289648]
[cache_key.bluetooth.bluetooth_map_get_connection_state]: [5607437189991289649]
[cache_key.bluetooth.bluetooth_sap_get_connection_state]: [5607437189991289650]
[cache_key.telephony.phone_account_to_subid]: [6571240362947651315]
[cache_key.telephony.subscription_manager_service]: [6571240362947651272]
[config.disable_rtt]: [true]
[dalvik.vm.appimageformat]: [lz4]
[dalvik.vm.background-dex2oat-threads]: [8]
[dalvik.vm.boot-dex2oat-threads]: [6]
[dalvik.vm.dex2oat-Xms]: [64m]
[dalvik.vm.dex2oat-Xmx]: [512m]
[dalvik.vm.dex2oat-max-image-block-size]: [524288]
[dalvik.vm.dex2oat-minidebuginfo]: [true]
[dalvik.vm.dex2oat-resolve-startup-strings]: [true]
[dalvik.vm.dex2oat-threads]: [6]
[dalvik.vm.dex2oat64.enabled]: [true]
[dalvik.vm.dexopt.secondary]: [true]
[dalvik.vm.dexopt.thermal-cutoff]: [2]
[dalvik.vm.enable_pr_dexopt]: [true]
[dalvik.vm.extra-opts]: [-Xss3M]
[dalvik.vm.heapgrowthlimit]: [256m]
[dalvik.vm.heapmaxfree]: [32m]
[dalvik.vm.heapminfree]: [8m]
[dalvik.vm.heapsize]: [512m]
[dalvik.vm.heapstartsize]: [16m]
[dalvik.vm.heaptargetutilization]: [0.5]
[dalvik.vm.image-dex2oat-Xms]: [64m]
[dalvik.vm.image-dex2oat-Xmx]: [64m]
[dalvik.vm.isa.arm64.features]: [default]
[dalvik.vm.isa.arm64.variant]: [oryon]
[dalvik.vm.madvise.odexfile.size]: [104857600]
[dalvik.vm.madvise.vdexfile.size]: [104857600]
[dalvik.vm.minidebuginfo]: [true]
[dalvik.vm.monitortimeout.enable]: [true]
[dalvik.vm.ps-min-first-save-ms]: [8000]
[dalvik.vm.systemuicompilerfilter]: [speed]
[dalvik.vm.usap_pool_enabled]: [false]
[dalvik.vm.usap_pool_refill_delay_ms]: [3000]
[dalvik.vm.usap_pool_size_max]: [3]
[dalvik.vm.usap_pool_size_min]: [1]
[dalvik.vm.usap_refill_threshold]: [1]
[dalvik.vm.useartservice]: [true]
[dalvik.vm.usejit]: [true]
[debug.atrace.tags.enableflags]: [0]
[debug.c2.use_dmabufheaps]: [1]
[debug.config.media.video.aie.support]: [true]
[debug.config.media.video.ais.support]: [true]
[debug.config.media.video.dolby_capture_supports]: [true]
[debug.config.media.video.dolby_vision_suports]: [true]
[debug.config.media.video.frc.support]: [true]
[debug.config.media.video.meeting.support]: [true]
[debug.config.media.video.server.support]: [true]
[debug.config.media.video.voip.detect]: [true]
[debug.config.video.hevchdr10.encode.support]: [true]
[debug.config.video.p3.decode.support]: [true]
[debug.config.video.p3.encode.support]: [true]
[debug.device.audio_receiver_state]: [0]
[debug.device.battery_level_state]: [88]
[debug.device.bluetooth_pan_state]: [0]
[debug.device.bluetooth_state]: [0]
[debug.device.horizontal_game_list_state]: [0]
[debug.device.hotspot_state]: [0]
[debug.device.modem_state]: [0]
[debug.device.sar_sensor_state]: [1]
[debug.device.simcard_state]: [0]
[debug.device.smart_tx_state]: [0]
[debug.device.type_screen_state]: [0]
[debug.device.usb_state]: [1]
[debug.device.white_list_state]: [0]
[debug.device.wifi_state]: [0]
[debug.egl.hw]: [0]
[debug.force_rtl]: [false]
[debug.game.video.boot]: [false]
[debug.game.video.speed]: [true]
[debug.game.video.support]: [true]
[debug.graphics.game_default_frame_rate.disabled]: [1]
[debug.hwui.skia_atrace_enabled]: [false]
[debug.hwui.skia_tracing_enabled]: [false]
[debug.hwui.skia_use_perfetto_track_events]: [false]
[debug.hwui.treat_170m_as_sRGB]: [true]
[debug.mdpcomp.logs]: [0]
[debug.media.video.ais]: [false]
[debug.media.video.chipset]: [11]
[debug.media.video.dolby_vision_dvs_support]: [true]
[debug.media.video.frc]: [false]
[debug.media.video.vpp]: [false]
[debug.media.vpp.enable]: [false]
[debug.mi.filter.lut.open]: [0]
[debug.modem.phone.init_count]: [1]
[debug.modem.sar.judge_dsi]: [3]
[debug.perfetto.sdk_sysprop_guard_generation]: [0]
[debug.renderengine.skia_tracing_enabled]: [false]
[debug.renderengine.skia_use_perfetto_track_events]: [false]
[debug.sf.auto_latch_unsignaled]: [1]
[debug.sf.disable_backpressure]: [1]
[debug.sf.disable_client_composition_cache]: [1]
[debug.sf.early.app.duration]: [13666666]
[debug.sf.early.sf.duration]: [10500000]
[debug.sf.earlyGl.app.duration]: [13666666]
[debug.sf.earlyGl.sf.duration]: [10500000]
[debug.sf.enable_advanced_sf_phase_offset]: [1]
[debug.sf.enable_gl_backpressure]: [1]
[debug.sf.enable_hwc_vds]: [0]
[debug.sf.hw]: [0]
[debug.sf.ignore_hwc_physical_display_orientation]: [true]
[debug.sf.latch_unsignaled]: [0]
[debug.sf.late.app.duration]: [13666666]
[debug.sf.late.sf.duration]: [10500000]
[debug.sf.show_refresh_rate_overlay_render_rate]: [true]
[debug.sf.treat_170m_as_sRGB]: [1]
[debug.sf.use_phase_offsets_as_durations]: [1]
[debug.stagefright.c2inputsurface]: [-1]
[debug.stagefright.ccodec]: [4]
[debug.stagefright.omx_default_rank]: [0]
[debug.tp.grip_enable]: [0]
[debug.tracing.battery_status]: [2]
[debug.tracing.device_state]: [0:DEFAULT]
[debug.tracing.mcc]: [460]
[debug.tracing.mnc]: [1]
[debug.tracing.plug_type]: [1]
[debug.tracing.screen_brightness]: [0.043858316]
[debug.tracing.screen_state]: [3]
[debug.video.codec.capability.apilevel]: [2]
[debug.video.codec.capability.support]: [16383]
[debug.video.fingercollection.play]: [false]
[debug.video.jpegopt.enable]: [1]
[debug.video.recovery.killenable]: [true]
[debug.video.render.broadcast.support]: [true]
[dev.bootcomplete]: [1]
[dev.mnt.blk.cust]: [sda34]
[dev.mnt.blk.data]: [sda34]
[dev.mnt.blk.data.user.0]: [sda34]
[dev.mnt.blk.data_mirror.cur_profiles]: [sda34]
[dev.mnt.blk.data_mirror.data_ce.null]: [sda34]
[dev.mnt.blk.data_mirror.data_ce.null.0]: [sda34]
[dev.mnt.blk.data_mirror.data_de.null]: [sda34]
[dev.mnt.blk.data_mirror.misc_ce.null]: [sda34]
[dev.mnt.blk.data_mirror.misc_de.null]: [sda34]
[dev.mnt.blk.data_mirror.ref_profiles]: [sda34]
[dev.mnt.blk.data_mirror.storage_area]: [sda34]
[dev.mnt.blk.dev.logfs]: [sda14]
[dev.mnt.blk.metadata]: [sda20]
[dev.mnt.blk.mi_ext]: [sda33]
[dev.mnt.blk.mnt.rescue]: [sda32]
[dev.mnt.blk.mnt.vendor.mi_ext]: [sda33]
[dev.mnt.blk.mnt.vendor.persist]: [sdf7]
[dev.mnt.blk.mnt.vendor.qmcs]: [sde26]
[dev.mnt.blk.mnt.vendor.spunvm]: [sde95]
[dev.mnt.blk.mnt.vendor.vm-persist]: [sda16]
[dev.mnt.blk.vendor.bt_firmware]: [sde52]
[dev.mnt.blk.vendor.dsp]: [sde54]
[dev.mnt.blk.vendor.firmware_mnt]: [sde50]
[dev.mnt.blk.vendor.modem_firmware]: [sde51]
[dev.mnt.blk.vendor.soccp_firmware]: [sde75]
[dev.mnt.blk.vendor.vm-system]: [sda18]
[dev.mnt.dev.cust]: [dm-80]
[dev.mnt.dev.data]: [dm-78]
[dev.mnt.dev.data.user.0]: [dm-78]
[dev.mnt.dev.data_mirror.cur_profiles]: [dm-78]
[dev.mnt.dev.data_mirror.data_ce.null]: [dm-78]
[dev.mnt.dev.data_mirror.data_ce.null.0]: [dm-78]
[dev.mnt.dev.data_mirror.data_de.null]: [dm-78]
[dev.mnt.dev.data_mirror.misc_ce.null]: [dm-78]
[dev.mnt.dev.data_mirror.misc_de.null]: [dm-78]
[dev.mnt.dev.data_mirror.ref_profiles]: [dm-78]
[dev.mnt.dev.data_mirror.storage_area]: [dm-78]
[dev.mnt.dev.dev.logfs]: [sda14]
[dev.mnt.dev.metadata]: [sda20]
[dev.mnt.dev.mi_ext]: [dm-35]
[dev.mnt.dev.mnt.rescue]: [sda32]
