[Build.BRAND]: [MTK]
[aaudio.mmap_exclusive_policy]: [2]
[aaudio.mmap_policy]: [2]
[adjust.preinstall.path]: [/data/etc/appchannel/adjust.preinstall]
[build.version.extensions.r]: [1]
[build.version.extensions.s]: [1]
[cache_key.display_info]: [-2504554892312586548]
[cache_key.get_packages_for_uid]: [-2504554892312586569]
[cache_key.has_system_feature]: [-2504554892312587443]
[cache_key.is_compat_change_enabled]: [-2504554892312586564]
[cache_key.is_interactive]: [-2504554892312586556]
[cache_key.is_power_save_mode]: [-2504554892312587388]
[cache_key.is_user_unlocked]: [-2504554892312587374]
[cache_key.location_enabled]: [-2504554892312587431]
[cache_key.package_info]: [-2504554892312586563]
[cache_key.system_server.accounts_data]: [-2504554892312586608]
[cache_key.telephony.get_active_data_sub_id]: [5881355016109902827]
[cache_key.telephony.get_default_data_sub_id]: [5881355016109902826]
[cache_key.telephony.get_default_sms_sub_id]: [5881355016109902832]
[cache_key.telephony.get_default_sub_id]: [5881355016109902830]
[cache_key.telephony.get_slot_index]: [5881355016109902831]
[camera.disable_zsl_mode]: [1]
[dalvik.vm.appimageformat]: [lz4]
[dalvik.vm.dex2oat-Xms]: [64m]
[dalvik.vm.dex2oat-Xmx]: [512m]
[dalvik.vm.dex2oat-max-image-block-size]: [524288]
[dalvik.vm.dex2oat-minidebuginfo]: [true]
[dalvik.vm.dex2oat-resolve-startup-strings]: [true]
[dalvik.vm.dex2oat-updatable-bcp-packages-file]: [/system/etc/updatable-bcp-packages.txt]
[dalvik.vm.dexopt.secondary]: [true]
[dalvik.vm.dexopt.thermal-cutoff]: [2]
[dalvik.vm.heapgrowthlimit]: [384m]
[dalvik.vm.heapmaxfree]: [8m]
[dalvik.vm.heapminfree]: [2m]
[dalvik.vm.heapsize]: [512m]
[dalvik.vm.heapstartsize]: [16m]
[dalvik.vm.heaptargetutilization]: [0.75]
[dalvik.vm.image-dex2oat-Xms]: [64m]
[dalvik.vm.image-dex2oat-Xmx]: [64m]
[dalvik.vm.isa.arm.features]: [default]
[dalvik.vm.isa.arm.variant]: [cortex-a55]
[dalvik.vm.isa.arm64.features]: [default]
[dalvik.vm.isa.arm64.variant]: [cortex-a55]
[dalvik.vm.madvise.artfile.size]: [4294967295]
[dalvik.vm.madvise.odexfile.size]: [104857600]
[dalvik.vm.madvise.vdexfile.size]: [104857600]
[dalvik.vm.minidebuginfo]: [true]
[dalvik.vm.mtk-stack-trace-file]: [/data/anr/mtk_traces.txt]
[dalvik.vm.ps-min-first-save-ms]: [5000]
[dalvik.vm.usejit]: [true]
[dalvik.vm.usejitprofiles]: [true]
[debug.atrace.tags.enableflags]: [0]
[debug.debuggerd.disable]: [0]
[debug.force_rtl]: [false]
[debug.hang.count]: [0]
[debug.hwc.disabletonemapping]: [true]
[debug.hwui.disabledither]: [false]
[debug.mediatek.appgamepq_compress]: [1]
[debug.mediatek.disp_decompress]: [1]
[debug.mtk_tflite.target_nnapi]: [29]
[debug.onetrace.native.tag]: [0]
[debug.onetrace.tag]: [0]
[debug.onetrace.version]: [7]
[debug.refresh_rate.view_override]: [1]
[debug.renderengine.backend]: [skiagl]
[debug.sf.disable_backpressure]: [1]
[debug.sf.early.app.duration]: [17000000]
[debug.sf.early.sf.duration]: [15600000]
[debug.sf.earlyGl.app.duration]: [17000000]
[debug.sf.earlyGl.sf.duration]: [15600000]
[debug.sf.enable_hwc_vds]: [0]
[debug.sf.hwc.min.duration]: [17000000]
[debug.sf.latch_unsignaled]: [1]
[debug.sf.late.app.duration]: [17000000]
[debug.sf.late.sf.duration]: [15600000]
[debug.sf.use_phase_offsets_as_durations]: [1]
[debug.stagefright.c2inputsurface]: [-1]
[debug.tracing.screen_brightness]: [4767.0]
[debug.tracing.screen_state]: [2]
[dev.bootcomplete]: [1]
[dev.mnt.blk.data]: [dm-28]
[dev.mnt.blk.data.persist_log.cache.factory]: [sdc]
[dev.mnt.blk.data.persist_log.criticallog]: [sdc]
[dev.mnt.blk.data.persist_log.oplusreserve.media.log.hang_oplus]: [sdc]
[dev.mnt.blk.data.persist_log.oplusreserve.media.log.minidumpbackup]: [sdc]
[dev.mnt.blk.data.persist_log.oplusreserve.media.log.shutdown]: [sdc]
[dev.mnt.blk.data.user.0]: [dm-28]
[dev.mnt.blk.data_mirror.cur_profiles]: [dm-28]
[dev.mnt.blk.data_mirror.data_ce.null]: [dm-28]
[dev.mnt.blk.data_mirror.data_ce.null.0]: [dm-28]
[dev.mnt.blk.data_mirror.data_de.null]: [dm-28]
[dev.mnt.blk.data_mirror.ref_profiles]: [dm-28]
[dev.mnt.blk.metadata]: [sdc]
[dev.mnt.blk.mnt.oplus.op2]: [sdc]
[dev.mnt.blk.mnt.vendor.mdota]: [sdc]
[dev.mnt.blk.mnt.vendor.my_bigball]: [dm-13]
[dev.mnt.blk.mnt.vendor.my_carrier]: [dm-10]
[dev.mnt.blk.mnt.vendor.my_company]: [dm-9]
[dev.mnt.blk.mnt.vendor.my_engineering]: [dm-5]
[dev.mnt.blk.mnt.vendor.my_heytap]: [dm-8]
[dev.mnt.blk.mnt.vendor.my_manifest]: [dm-14]
[dev.mnt.blk.mnt.vendor.my_preload]: [dm-12]
[dev.mnt.blk.mnt.vendor.my_product]: [dm-6]
[dev.mnt.blk.mnt.vendor.my_region]: [dm-11]
[dev.mnt.blk.mnt.vendor.my_stock]: [dm-7]
[dev.mnt.blk.mnt.vendor.nvcfg]: [sdc]
[dev.mnt.blk.mnt.vendor.nvdata]: [sdc]
[dev.mnt.blk.mnt.vendor.oplusreserve]: [sdc]
[dev.mnt.blk.mnt.vendor.persist]: [sdc]
[dev.mnt.blk.mnt.vendor.protect_f]: [sdc]
[dev.mnt.blk.mnt.vendor.protect_s]: [sdc]
[dev.mnt.blk.my_bigball]: [dm-13]
[dev.mnt.blk.my_carrier]: [dm-10]
[dev.mnt.blk.my_company]: [dm-9]
[dev.mnt.blk.my_engineering]: [dm-5]
[dev.mnt.blk.my_heytap]: [dm-8]
[dev.mnt.blk.my_manifest]: [dm-14]
[dev.mnt.blk.my_preload]: [dm-12]
[dev.mnt.blk.my_product]: [dm-6]
[dev.mnt.blk.my_region]: [dm-11]
[dev.mnt.blk.my_stock]: [dm-7]
[dev.mnt.blk.odm]: [dm-4]
[dev.mnt.blk.product]: [dm-25]
[dev.mnt.blk.root]: [dm-23]
[dev.mnt.blk.system_ext]: [dm-26]
[dev.mnt.blk.userdata]: [dm-28]
[dev.mnt.blk.vendor]: [dm-24]
[graphics.gpu.profiler.support]: [true]
[gsm.current.phone-type]: [1,1]
[gsm.ims.type0]: []
[gsm.ims.type1]: []
[gsm.network.type]: [Unknown,Unknown]
[gsm.operator.alpha]: [,]
[gsm.operator.iso-country]: [cn,]
[gsm.operator.isroaming]: [false,false]
[gsm.operator.numeric]: [,]
[gsm.sim.num.simlock]: []
[gsm.sim.preiccid_0]: []
[gsm.sim.preiccid_1]: []
[gsm.sim.state]: [ABSENT,ABSENT]
[gsm.sim1.num.simlock]: []
[gsm.sim1.type]: []
[gsm.sim2.type]: []
[gsm.slot1.num.pin1]: []
[gsm.slot1.num.pin2]: []
[gsm.slot1.num.puk1]: []
[gsm.slot1.num.puk2]: []
[gsm.slot2.num.pin1]: []
[gsm.slot2.num.pin2]: []
[gsm.slot2.num.puk1]: []
[gsm.slot2.num.puk2]: []
[gsm.version.baseband]: [M_V3_P10,M_V3_P10]
[gsm.version.ril-impl]: [android reference-ril 1.0]
[hwservicemanager.ready]: [true]
[init.svc.adbd]: [running]
[init.svc.aee-reinit_v2]: [stopped]
[init.svc.aee.log-1-1]: [stopped]
[init.svc.aee_aed64_v2]: [running]
[init.svc.aee_set_md_ver_prop_v2]: [stopped]
[init.svc.agpsd]: [running]
[init.svc.android-hardware-media-c2-hal-1-2]: [running]
[init.svc.apexd]: [stopped]
[init.svc.apexd-bootstrap]: [stopped]
[init.svc.apexd-snapshotde]: [stopped]
[init.svc.atcid-daemon-u]: [running]
[init.svc.atlasservice]: [running]
[init.svc.audioserver]: [running]
[init.svc.bluetooth-1-1]: [running]
[init.svc.bootanim]: [stopped]
[init.svc.bootlogoupdater]: [stopped]
[init.svc.boringssl_self_test32]: [stopped]
[init.svc.boringssl_self_test32_vendor]: [stopped]
[init.svc.boringssl_self_test64]: [stopped]
[init.svc.boringssl_self_test64_vendor]: [stopped]
[init.svc.boringssl_self_test_apex32]: [stopped]
[init.svc.boringssl_self_test_apex64]: [stopped]
[init.svc.bpfloader]: [stopped]
[init.svc.bspFwUpdate]: [running]
[init.svc.bsp_kevent]: [running]
[init.svc.bt_dump]: [running]
[init.svc.camerahalserver]: [running]
[init.svc.cameraserver]: [running]
[init.svc.catchBinderInfoForOpm]: [stopped]
[init.svc.ccci3_mdinit]: [stopped]
[init.svc.ccci_mdinit]: [running]
[init.svc.charger_hal_service]: [running]
[init.svc.chmoddcsenpath]: [stopped]
[init.svc.clearWifiDumpFile]: [stopped]
[init.svc.common_dcs]: [running]
[init.svc.conninfra_loader]: [stopped]
[init.svc.connsyslogger]: [running]
[init.svc.credstore]: [running]
[init.svc.criticallog]: [running]
[init.svc.datafree]: [stopped]
[init.svc.debug_assert_tip]: [stopped]
[init.svc.derive_classpath]: [stopped]
[init.svc.derive_sdk]: [stopped]
[init.svc.displaypanelfeature-1-0]: [running]
[init.svc.dms-v36-hal-2-0]: [running]
[init.svc.drm64]: [running]
[init.svc.dumpsysBatterystatsCheckinForOpm]: [stopped]
[init.svc.dumpsysBatterystatsForOpm]: [stopped]
[init.svc.dumpsysBatterystatsOplusCheckinForOpm]: [stopped]
[init.svc.dumpsysHansHistoryForOpm]: [stopped]
[init.svc.dumpsysMediaForOpm]: [stopped]
[init.svc.dumpsysSensorserviceForOpm]: [stopped]
[init.svc.eara-io]: [running]
[init.svc.enablewifidump]: [stopped]
[init.svc.face_hal]: [running]
[init.svc.fidoca]: [running]
[init.svc.fpay_hal]: [running]
[init.svc.fps_hal]: [running]
[init.svc.fpsgo]: [running]
[init.svc.fuelgauged]: [running]
[init.svc.fuelgauged_nvram]: [stopped]
[init.svc.gameopt_hal_service-1-0]: [running]
[init.svc.gatekeeperd]: [running]
[init.svc.gbe]: [running]
[init.svc.generate_runtime_prop]: [stopped]
[init.svc.gpu]: [running]
[init.svc.hal_cryptoeng_oplus]: [running]
[init.svc.hans]: [running]
[init.svc.health-hal-2-1]: [running]
